taxid,parent_taxid,rank,scientific_name,common_name
9420,40235,genus,Brachyphylla,
9421,9420,species,Brachyphylla cavernarum,Antillean fruit-eating bat
9422,40238,genus,Phyllostomus,
9423,9422,species,Phyllostomus hastatus,greater spear-nosed bat
9425,40238,genus,Tonatia,
9426,9425,species,Tonatia bidens,greater round-eared bat
9429,40237,genus,Desmodus,
9430,9429,species,Desmodus rotundus,common vampire bat
9431,30560,family,Vespertilionidae,common bats
9432,981671,genus,Miniopterus,
9433,9432,species,Miniopterus schreibersii,Common bent-wing bat
9434,9431,genus,Myotis,
9435,9434,species,Myotis velifer,cave myotis
9436,30560,family,Molossidae,free-tailed bats
9437,9436,genus,Tadarida,
9438,9437,species,Tadarida brasiliensis,Brazilian free-tailed bat
9439,9431,genus,Antrozous,
9440,9439,species,Antrozous pallidus,pallid bat
9443,314146,order,Primates,primates
9445,376915,family,Lemuridae,lemurs
9446,9445,genus,Lemur,
9447,9446,species,Lemur catta,Ring-tailed lemur
9452,30614,genus,Lepilemur,
9453,9452,species,Lepilemur mustelinus,weasel lemur
9454,9445,genus,Varecia,
9455,9454,species,Varecia variegata,ruffed lemur
9456,30657,genus,Cynocephalus,
9459,30615,genus,Cheirogaleus,
9460,9459,species,Cheirogaleus medius,fat-tailed dwarf lemur
9461,376917,family,Lorisidae,bushbabies
9462,40297,genus,Galago,
9463,30610,species,Otolemur crassicaudatus,greater galago
9464,2628747,species,Galago sp.,bush baby
9465,9462,species,Galago senegalensis,northern lesser bushbaby
9467,9461,genus,Loris,
9468,9467,species,Loris tardigradus,slender loris
9469,9461,genus,Nycticebus,
9470,9469,species,Nycticebus coucang,slow loris
9471,9461,genus,Perodicticus,
9472,9471,species,Perodicticus potto,potto
9473,9472,subspecies,Perodicticus potto edwarsi,
9475,376912,family,Tarsiidae,tarsiers
9476,9475,genus,Tarsius,tarsier
9477,1971489,species,Cephalopachus bancanus,Horsfield's tarsier
9479,314293,parvorder,Platyrrhini,monkey
9480,9498,subfamily,Callitrichinae,marmosets and tamarins
9481,9480,genus,Callithrix,
9482,1965102,species,Mico argentatus,silvery marmoset
9483,1965096,species,Callithrix jacchus,common marmoset
9485,1965096,species,Callithrix sp.,
9486,9480,genus,Saguinus,
9487,2681187,species,Leontocebus fuscicollis,brown-headed tamarin
9488,9486,species,Saguinus mystax,black-chested mustached tamarin
9489,2681187,species,Leontocebus nigricollis,black-and-red tamarin
9490,9486,species,Saguinus oedipus,cotton-top tamarin
9491,9486,species,Saguinus imperator,black-chinned emperor tamarin
9493,1965109,species,Cebuella pygmaea,pygmy marmoset
9494,9480,genus,Callimico,
9495,9494,species,Callimico goeldii,Goeldi's marmoset
9498,9479,family,Cebidae,
9499,38066,genus,Alouatta,howler monkeys
9501,2623697,species,Alouatta sp.,howler monkey
9502,9499,species,Alouatta caraya,black howler monkey
9503,9499,species,Alouatta seniculus,howler monkey
9504,376918,genus,Aotus,night monkeys
9505,9504,species,Aotus trivirgatus,douroucouli
9506,38068,genus,Ateles,
9507,9506,species,Ateles belzebuth,long-haired spider monkey
9508,9506,species,Ateles fusciceps,brown-headed spider monkey
9509,9506,species,Ateles geoffroyi,black-handed spider monkey
9510,9506,species,Ateles paniscus,red-faced black spider monkey
9511,120432,species,Ateles sp.,spider monkey
9513,38070,genus,Cebus,capuchin monkeys
9514,9513,species,Cebus albifrons,brown pale-fronted capuchin
9515,1532884,species,Sapajus apella,black-capped capuchin
9516,9513,species,Cebus capucinus,white-faced capuchin
9517,2618788,species,Cebus sp.,
9518,38068,genus,Lagothrix,woolly monkeys
9519,9518,species,Lagothrix lagotricha,brown woolly monkey
9520,378850,genus,Saimiri,squirrel monkeys
9521,9520,species,Saimiri sciureus,common squirrel monkey
9522,38069,genus,Callicebus,titi monkeys
9523,1812035,species,Plecturocebus moloch,dusky titi
9524,38039,genus,Chiropotes,
9525,9524,species,Chiropotes satanas,black-bearded saki
9526,314293,parvorder,Catarrhini,
9527,314294,family,Cercopithecidae,monkey
9528,9527,subfamily,Cercopithecinae,
9529,9528,genus,Cercocebus,
9530,9529,species,Cercocebus torquatus,collared mangabey
9531,9529,species,Cercocebus atys,sooty mangabey
9532,9529,species,Cercocebus galeritus,Tana river mangabey
9533,9528,genus,Cercopithecus,
9534,392815,species,Chlorocebus aethiops,African green monkey
9535,9533,species,Cercopithecus cephus,moustached guenon
9536,9533,species,Cercopithecus hamlyni,owl-faced monkey
9537,9528,genus,Erythrocebus,
9538,9537,species,Erythrocebus patas,hussar
9539,9528,genus,Macaca,macaque
9540,9539,species,Macaca arctoides,bear macaque
9541,9539,species,Macaca fascicularis,crab eating macaque
9542,9539,species,Macaca fuscata,Japanese macaque
9543,9542,subspecies,Macaca fuscata fuscata,Japanese macaque
9544,9539,species,Macaca mulatta,rhesus macaque
9545,9539,species,Macaca nemestrina,pig-tailed macaque
9546,9539,species,Macaca sylvanus,Barbary ape
9548,9539,species,Macaca radiata,bonnet macaque
9549,2623225,species,Macaca sp.,
9551,9539,species,Macaca assamensis,Assam macaque
9552,9539,species,Macaca sinica,toque macaque
9554,9528,genus,Papio,baboons
9555,9554,species,Papio anubis,baboon
9556,9554,species,Papio cynocephalus,baboon
9557,9554,species,Papio hamadryas,baboon
9561,9567,species,Mandrillus sphinx,mandrill
9562,9557,subspecies,Papio hamadryas hamadryas,
9564,9528,genus,Theropithecus,
9565,9564,species,Theropithecus gelada,bleeding heart baboon
9567,9528,genus,Mandrillus,forest baboons
9568,9567,species,Mandrillus leucophaeus,drill
9569,9527,subfamily,Colobinae,
9570,9569,genus,Colobus,black-and-white colobus monkeys
9572,9570,species,Colobus polykomos,king colobus
9573,9569,genus,Presbytis,
9576,9527,species,Cercopithecidae gen. sp.,
9577,314295,family,Hylobatidae,gibbons
9578,9577,genus,Hylobates,
9579,9578,species,Hylobates agilis,agile gibbon
9580,9578,species,Hylobates lar,common gibbon
9581,2647113,species,Hylobates sp.,gibbon
9583,9579,subspecies,Hylobates agilis unko,
9586,325165,species,Nomascus siki,southern white-cheeked gibbon
9587,9578,species,Hylobates klossii,Kloss's gibbon
9588,9578,species,Hylobates muelleri,Borneo gibbon
9589,9578,species,Hylobates pileatus,pileated gibbon
9590,325166,species,Symphalangus syndactylus,siamang
9592,207598,genus,Gorilla,
9593,9592,species,Gorilla gorilla,gorilla
9595,9593,subspecies,Gorilla gorilla gorilla,lowland gorilla
9596,207598,genus,Pan,chimpanzees
9597,9596,species,Pan paniscus,bonobo
9598,9596,species,Pan troglodytes,chimpanzee
9599,607660,genus,Pongo,
9600,9599,species,Pongo pygmaeus,Bornean orangutan
9601,9599,species,Pongo abelii,orang utan
9602,9600,subspecies,Pongo pygmaeus pygmaeus,Northwest Bornean orangutan
9603,2624844,species,Pongo sp.,
9604,314295,family,Hominidae,great apes
9605,207598,genus,Homo,humans
9606,9605,species,Homo sapiens,human
9608,379584,family,Canidae,"dog, coyote, wolf, fox"
9611,9608,genus,Canis,
9612,9611,species,Canis lupus,gray wolf
9614,9611,species,Canis latrans,coyote
9615,9612,subspecies,Canis lupus familiaris,dog
9616,2626217,species,Canis sp.,
9619,9608,genus,Dusicyon,
9620,1316009,species,Cerdocyon thous,common zorro
9621,9608,genus,Lycaon,
9622,9621,species,Lycaon pictus,African hunting dog
9623,9608,genus,Otocyon,
9624,9623,species,Otocyon megalotis,bat-eared fox
9625,9608,genus,Vulpes,
9626,9625,species,Vulpes chama,Cape fox
9627,9625,species,Vulpes vulpes,red fox
9629,9625,species,Vulpes corsac,Corsac fox
9630,9625,species,Vulpes macrotis,kit fox
9631,9625,species,Vulpes velox,swift fox
9632,379584,family,Ursidae,bears
9633,9632,genus,Helarctos,
9634,9633,species,Helarctos malayanus,Malayan sun bear
9635,9632,genus,Melursus,
9636,9635,species,Melursus ursinus,sloth bear
9637,9632,genus,Tremarctos,
9638,9637,species,Tremarctos ornatus,spectacled bear
9639,9632,genus,Ursus,
9641,2623310,species,Ursus sp.,bear
9642,9639,species,Ursus thibetanus,Asiatic black bear
9643,9639,species,Ursus americanus,American black bear
9644,9639,species,Ursus arctos,brown bear
9645,9632,genus,Ailuropoda,
9646,9645,species,Ailuropoda melanoleuca,giant panda
9647,3072906,family,Procyonidae,"raccoon, coati & olingo"
9648,379582,genus,Ailurus,
9649,9648,species,Ailurus fulgens,lesser panda
9650,9647,genus,Nasua,
9651,9650,species,Nasua nasua,ring-tailed coati
9652,9651,subspecies,Nasua nasua rufa,ring-tailed coati
9653,9647,genus,Procyon,
9654,9653,species,Procyon lotor,northern raccoon
9655,3072906,family,Mustelidae,"weasel, mink, badger, martens and others"
9656,169417,genus,Lutra,
9657,9656,species,Lutra lutra,Eurasian river otter
9658,2892069,genus,Martes,
9659,9658,species,Martes foina,beach marten
9660,9658,species,Martes americana,American marten
9661,1008252,genus,Meles,
9662,9661,species,Meles meles,Eurasian badger
9663,1008259,genus,Mellivora,
9664,9663,species,Mellivora capensis,honey badger
9665,169418,genus,Mustela,
9666,9665,species,Mustela lutreola,European mink
9668,9665,species,Mustela putorius,European polecat
9669,9668,subspecies,Mustela putorius furo,black ferret
9671,169417,genus,Pteronura,
9672,9671,species,Pteronura brasiliensis,giant otter
9673,379583,family,Viverridae,civets
9674,219112,genus,Paguma,
9675,9674,species,Paguma larvata,masked palm civet
9676,379583,family,Hyaenidae,hyaenas
9677,9676,genus,Crocuta,
9678,9677,species,Crocuta crocuta,spotted hyena
9679,9676,genus,Proteles,
9680,9679,species,Proteles cristata,aardwolf
9681,379583,family,Felidae,cat family
9682,338152,genus,Felis,
9683,9682,species,Felis silvestris,wild cat
9685,9682,species,Felis catus,cat
9687,2625412,species,Felis sp.,
9688,338153,genus,Panthera,
9689,9688,species,Panthera leo,lion
9690,9688,species,Panthera onca,jaguar
9691,9688,species,Panthera pardus,leopard
9692,9691,subspecies,Panthera pardus orientalis,Amur leopard
9693,9691,subspecies,Panthera pardus saxicolor,northern Persian leopard
9694,9688,species,Panthera tigris,tiger
9695,9694,subspecies,Panthera tigris sumatrae,Sumatran tiger
9696,146712,species,Puma concolor,puma
9697,379583,family,Herpestidae,mongooses
9699,9697,genus,Herpestes,
9700,9699,species,Herpestes ichneumon,Egyptian mongoose
9702,3072905,family,Otariidae,fur seals & sea lions
9703,9702,genus,Zalophus,
9704,9703,species,Zalophus californianus,California sealion
9705,3072905,family,Odobenidae,walruses
9706,9705,genus,Odobenus,
9707,9706,species,Odobenus rosmarus,walrus
9708,9707,subspecies,Odobenus rosmarus divergens,Pacific walrus
9709,3072905,family,Phocidae,crawling seals
9710,3410118,genus,Halichoerus,
9711,9710,species,Halichoerus grypus,gray seal
9712,3410120,genus,Leptonychotes,
9713,9712,species,Leptonychotes weddellii,Weddell seal
9714,3410122,genus,Mirounga,elephant seals
9715,9714,species,Mirounga leonina,Southern elephant seal
9716,9714,species,Mirounga angustirostris,Northern elephant seal
9717,3410118,genus,Phoca,
9718,693430,species,Pusa hispida,ringed seal
9719,693430,species,Pusa sibirica,Baikal seal
9720,9717,species,Phoca vitulina,harbor seal
9721,2653789,infraorder,Cetacea,cetaceans
9722,9721,parvorder,Odontoceti,tooth whales
9723,9722,family,Platanistidae,freshwater dolphins
9724,197540,genus,Inia,
9725,9724,species,Inia geoffrensis,Amazon dolphin
9726,9722,family,Delphinidae,marine dolphins
9727,9726,genus,Delphinus,
9728,9727,species,Delphinus delphis,Black Sea dolphin
9729,9726,genus,Globicephala,pilot whales
9731,9729,species,Globicephala melas,long-finned pilot whale
9732,9726,genus,Orcinus,
9733,9732,species,Orcinus orca,killer whale
9734,9726,genus,Stenella,
9735,9734,species,Stenella attenuata,bridled dolphin
9736,9734,species,Stenella longirostris,pantropical spinner dolphin
9737,9734,species,Stenella coeruleoalba,striped dolphin
9738,9726,genus,Tursiops,
9739,9738,species,Tursiops truncatus,Atlantic bottlenose dolphin
9740,9722,family,Phocoenidae,porpoises
9741,9740,genus,Phocoena,
9742,9741,species,Phocoena phocoena,common porpoise
9743,9740,genus,Phocoenoides,
9744,9743,species,Phocoenoides dalli,Dall's porpoise
9745,9744,subspecies,Phocoenoides dalli dalli,
9747,9722,family,Monodontidae,
9748,9747,genus,Delphinapterus,
9749,9748,species,Delphinapterus leucas,beluga
9750,9722,family,Physeteridae,sperm whales
9751,9750,genus,Kogia,
9752,9751,species,Kogia sima,dwarf sperm whale
9753,9750,genus,Physeter,
9755,9753,species,Physeter macrocephalus,sperm whale
9756,9722,family,Ziphiidae,beaked whales
9757,9756,genus,Mesoplodon,
9758,9757,species,Mesoplodon carlhubbsi,Hubbs' beaked whale
9759,9756,genus,Ziphius,
9760,9759,species,Ziphius cavirostris,Cuvier's beaked whale
9761,9721,parvorder,Mysticeti,baleen whales
9762,9761,family,Eschrichtiidae,
9763,9762,genus,Eschrichtius,
9764,9763,species,Eschrichtius robustus,California gray whale
9765,9761,family,Balaenopteridae,finback whales
9766,9765,genus,Balaenoptera,
9767,9766,species,Balaenoptera acutorostrata,lesser rorqual
9768,9766,species,Balaenoptera borealis,sei whale
9769,9766,species,Balaenoptera edeni,Eden's whale
9770,9766,species,Balaenoptera physalus,common rorqual
9771,9766,species,Balaenoptera musculus,blue whale
9772,9765,genus,Megaptera,
9773,9772,species,Megaptera novaeangliae,humpback whale
9774,311790,order,Sirenia,manatees and dugongs (seacows)
9775,9774,family,Trichechidae,manatees
9776,9775,genus,Trichechus,
9777,9776,species,Trichechus inunguis,Amazonian manatee
9778,9776,species,Trichechus manatus,West Indian manatee
9779,311790,order,Proboscidea,elephants
9780,9779,family,Elephantidae,elephants
9781,9780,species,Elephantidae gen. sp.,
9782,9780,genus,Elephas,
9783,9782,species,Elephas maximus,Asian elephant
9784,9780,genus,Loxodonta,African elephants
9785,9784,species,Loxodonta africana,African bush elephant
9787,314145,order,Perissodactyla,odd-toed ungulates
9788,9787,family,Equidae,horses
9789,9788,genus,Equus,
9791,9789,species,Equus zebra,mountain zebra
9792,9789,species,Equus grevyi,Grevy's zebra
9793,9789,species,Equus asinus,African ass
9794,9789,species,Equus hemionus,Asiatic wild ass
9796,9789,species,Equus caballus,domestic horse
9798,9789,species,Equus przewalskii,Przewalski horse
9799,9787,family,Tapiridae,tapirs
9800,9799,genus,Tapirus,
9801,9800,species,Tapirus terrestris,Brazilian tapir
9802,9800,species,Tapirus indicus,Asiatic tapir
9803,9787,family,Rhinocerotidae,rhinoceroses
9804,9803,genus,Diceros,
9805,9804,species,Diceros bicornis,black rhinoceros
9806,9803,genus,Ceratotherium,
9807,9806,species,Ceratotherium simum,square-lipped rhinoceros
9808,9803,genus,Rhinoceros,
9809,9808,species,Rhinoceros unicornis,greater Indian rhinoceros
9810,311790,order,Hyracoidea,rock rabbits/dassies
9811,9810,family,Procaviidae,conies
9812,9811,genus,Procavia,
9813,9812,species,Procavia capensis,Cape hyrax
9814,9813,subspecies,Procavia capensis habessinica,Abyssinian hyrax
9815,311790,order,Tubulidentata,aardvarks
9816,9815,family,Orycteropodidae,aardvark
9817,9816,genus,Orycteropus,
9818,9817,species,Orycteropus afer,aardvark
9821,35497,family,Suidae,boars
9822,9821,genus,Sus,
9823,9822,species,Sus scrofa,pig
9825,9823,subspecies,Sus scrofa domesticus,domestic pig
9826,432588,species,Sus sp.,
9827,35497,family,Tayassuidae,peccaries
9828,9827,genus,Tayassu,
9829,3136298,species,Dicotyles tajacu,collared peccary
9831,2653790,family,Hippopotamidae,
9832,9831,genus,Hippopotamus,
9833,9832,species,Hippopotamus amphibius,hippopotamus
9834,91561,suborder,Tylopoda,
9835,9834,family,Camelidae,
9836,9835,genus,Camelus,
9837,9836,species,Camelus bactrianus,Bactrian camel
9838,9836,species,Camelus dromedarius,Arabian camel
9839,9835,genus,Lama,
9840,9839,species,Lama guanicoe,guanaco
9843,30539,species,Vicugna vicugna,vicugna
9844,9839,species,Lama glama,llama
9845,91561,suborder,Ruminantia,
9846,35499,family,Tragulidae,chevrotains
9847,9846,genus,Tragulus,
9848,9847,species,Tragulus napu,Balabac chevrotain
9849,9847,species,Tragulus javanicus,Java mouse-deer
9850,35500,family,Cervidae,deer
9851,9881,genus,Alces,
9852,9851,species,Alces alces,elk
9853,9852,subspecies,Alces alces alces,European elk
9855,34878,genus,Axis,
9857,9881,genus,Capreolus,
9858,9857,species,Capreolus capreolus,Western roe deer
9859,34878,genus,Cervus,
9860,9859,species,Cervus elaphus,red deer
9861,1574408,subspecies,Cervus canadensis canadensis,American elk
9863,9859,species,Cervus nippon,sika deer
9864,1574408,subspecies,Cervus canadensis nelsoni,American elk
9865,9860,subspecies,Cervus elaphus xanthopygus,Manchurian Wapiti
9867,34878,genus,Dama,
9869,9881,genus,Rangifer,
9870,9869,species,Rangifer tarandus,caribou
9871,9881,genus,Odocoileus,
9872,9871,species,Odocoileus hemionus,mule deer
9873,9872,subspecies,Odocoileus hemionus columbianus,black-tailed deer
9874,9871,species,Odocoileus virginianus,white-tailed deer
9875,9874,subspecies,Odocoileus virginianus virginianus,Virginia white-tailed deer
9876,9872,subspecies,Odocoileus hemionus crooki,
9877,9872,subspecies,Odocoileus hemionus hemionus,Rocky Mountain mule deer
9878,9872,subspecies,Odocoileus hemionus sitkensis,Sitka deer
9879,9874,subspecies,Odocoileus virginianus dakotensis,
9880,9874,subspecies,Odocoileus virginianus texanus,
9881,9850,subfamily,Odocoileinae,
9882,34876,genus,Hydropotes,
9883,9882,species,Hydropotes inermis,Chinese water deer
9885,34877,genus,Muntiacus,
9886,9885,species,Muntiacus reevesi,Chinese muntjac
9887,9885,species,Muntiacus vaginalis,northern red muntjac
9888,9885,species,Muntiacus muntjak,Indian muntjac
9889,35500,family,Antilocapridae,
9890,9889,genus,Antilocapra,
9891,9890,species,Antilocapra americana,pronghorn
9892,35500,family,Giraffidae,
9893,9892,genus,Giraffa,
9894,9893,species,Giraffa camelopardalis,giraffe
9895,35500,family,Bovidae,
9896,37169,genus,Aepyceros,
9897,9896,species,Aepyceros melampus,impala
9898,9963,genus,Ammotragus,
9899,9898,species,Ammotragus lervia,aoudad
9900,27592,genus,Bison,
9901,9900,species,Bison bison,American bison
9902,9900,species,Bison bonasus,bison
9903,27592,genus,Bos,cattle
9904,9903,species,Bos gaurus,gaur
9906,9903,species,Bos javanicus,banteng
9909,9903,species,Bos primigenius,aurochs
9913,9903,species,Bos taurus,bovine
9915,9903,species,Bos indicus,Indicine cattle
9916,27592,genus,Boselaphus,
9917,9916,species,Boselaphus tragocamelus,blue bull
9918,27592,genus,Bubalus,
9922,9963,genus,Capra,
9923,9922,species,Capra aegagrus,bezoar ibex
9925,9922,species,Capra hircus,domestic goat
9926,37170,genus,Connochaetes,
9927,9926,species,Connochaetes taurinus,blue wildebeest
9928,37170,genus,Damaliscus,
9929,9928,species,Damaliscus lunatus,topi
9930,9929,subspecies,Damaliscus lunatus korrigum,korrigum sassaby
9931,9928,species,Damaliscus pygargus,
9933,9948,genus,Gazella,gazelle
9935,9963,genus,Ovis,
9938,9940,subspecies,Ovis aries musimon,mouflon
9939,1110705,species,Ovis sp.,
9940,9935,species,Ovis aries,domestic sheep
9943,9935,species,Ovis dalli,Dall sheep
9944,27592,genus,Tragelaphus,
9945,9944,species,Tragelaphus oryx,common eland
9946,9944,species,Tragelaphus strepsiceros,greater kudu
9947,9944,species,Tragelaphus imberbis,lesser kudu
9948,9895,subfamily,Antilopinae,
9950,9948,genus,Madoqua,
9952,9895,subfamily,Cephalophinae,
9954,9952,genus,Cephalophus,
9957,9959,genus,Oryx,
9958,9957,species,Oryx gazella,gemsbok
9959,9895,subfamily,Hippotraginae,
9961,59549,genus,Kobus,
9962,9961,species,Kobus ellipsiprymnus,waterbuck
9963,9895,subfamily,Caprinae,
9965,9963,genus,Capricornis,
9966,9965,species,Capricornis crispus,Japanese serow
9969,27592,genus,Syncerus,
9970,9969,species,Syncerus caffer,African buffalo
9971,314145,order,Pholidota,pangolins
9972,9971,family,Manidae,pangolins
9973,9972,genus,Manis,
9974,9973,species,Manis javanica,Javan pangolin
9975,314147,order,Lagomorpha,
9976,9975,family,Ochotonidae,pikas
9977,9976,genus,Ochotona,
9978,9977,species,Ochotona princeps,American pika
9979,9975,family,Leporidae,rabbits and hares
9980,9979,genus,Lepus,hares
9981,9980,species,Lepus capensis,brown hare
9983,9980,species,Lepus europaeus,European hare
9984,9979,genus,Oryctolagus,
9986,9984,species,Oryctolagus cuniculus,domestic rabbit
9987,9979,genus,Sylvilagus,
9988,9987,species,Sylvilagus floridanus,eastern cottontail
9989,314147,order,Rodentia,rodent
9991,55153,subfamily,Sciurinae,
9992,337730,genus,Marmota,
9993,9992,species,Marmota marmota,European marmot
9994,9993,subspecies,Marmota marmota marmota,Alpine marmot
9995,9992,species,Marmota monax,groundhog
9996,337730,genus,Spermophilus,old world ground squirrels
9997,9996,species,Spermophilus citellus,European ground squirrel
9999,1141645,species,Urocitellus parryii,Arctic ground squirrel
10001,337752,genus,Sciurus,
10002,10007,subspecies,Sciurus aberti aberti,
10003,10007,subspecies,Sciurus aberti barberi,
